"","control_1","control_2","control_3","control_4","control_5","tumor_1","tumor_2","tumor_3","tumor_4","tumor_5"
"LOC102467079",0,0,0,0,0,0,0,0,0,0
"LOC102467080",0,0,0,0,0,1,1,0,3,1
"LOC102467081",0,0,0,0,0,0,0,0,1,0
"LOC102467146",0,1,1,1,0,2,1,1,2,0
"LOC102467147",1,1,0,7,3,8,6,2,2,4
"LOC102467212",0,0,0,0,0,0,0,0,0,0
"LOC102467213",0,0,0,0,0,0,0,0,0,1
"LOC102467214",0,0,0,0,0,0,0,0,0,0
"LOC102467216",0,0,0,0,0,0,0,0,0,0
"LOC102467217",0,0,0,0,0,0,0,0,0,0
"LOC102467223",0,0,0,0,0,0,0,0,0,0
"LOC102467224",0,0,0,2,0,0,0,0,2,0
"LOC102467225",0,0,0,0,0,0,0,0,0,0
"LOC102467226",0,0,0,0,0,0,0,0,0,0
"LOC102467655",0,0,0,0,0,0,0,0,0,0
"LOC102477328",0,0,0,0,0,0,0,0,0,0
